Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,4.7pF,
"C10, C4, C5, C6, C7, C8",0603,6,100nF,
"C3, C9",0805,2,10uF,
"FID1, FID2, FID3",Fiducial_1mm_Mask3mm,3,Fiducial,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom,4,MountingHole,
"J1, J2",DF40C100DP04V51,2,DF40C-100DP-04V-51 ,
"Q1, Q2",SOT-23,2,BC850,
"R1, R2",0603,2,0R,
"R3, R4",0603,2,10k,
U1,TQFP-100_14x14mm_P0.5mm,1,ATmega2560-8A,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,TXS0108EPW,
U3,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,8MHz,
